Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C22, C23, C5, C8",0805,6,0.1u,C49678
"C11, C9",1206,2,47u,C96123
"C2, C3",0805,2,20p,C1798
"C20, C4",0805,2,10u,C15850
C25,0805,1,1u,C28323
C6,1206,1,22u,C12891
C7,0805,1,0.1u,
D1,0603,1,LED,C2286
D3,D_SMA,1,738-5052,C14996
D4,D_SMA,1,D_TVS,C19077535
F1,1812,1,Fuse,
J2,PinHeader_2x13_P2.54mm_Vertical,1,Conn_02x03_Odd_Even,
R13,0805,1,470,C17710
R17,0805,1,10k,
R7,0805,1,120,C17437
R8,0805,1,1M,C17514
U2,SO-16_3.9x9.9mm_P1.27mm,1,74HC595,
U20,SOIC-18W_7.5x11.6mm_P1.27mm,1,MCP2515-xSO,C12368
U25,Crystal_HC49-U_Vertical,1,8MHz,
U27,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T,C6952
U9,TO-252-2,1,L78M05ABDT,C58069
